"code","iso","country","biome","biome_description","TPA.raw.1990","TPA.raw.1991","TPA.raw.1992","TPA.raw.1993","TPA.raw.1994","TPA.raw.1995","TPA.raw.1996","TPA.raw.1997","TPA.raw.1998","TPA.raw.1999","TPA.raw.2000","TPA.raw.2001","TPA.raw.2002","TPA.raw.2003","TPA.raw.2004","TPA.raw.2005","TPA.raw.2006","TPA.raw.2007","TPA.raw.2008","TPA.raw.2009","TPA.raw.2010","TPA.raw.2011","TPA.raw.2012","TPA.raw.2013","TPA.raw.2014","TPA.raw.2015","TPA.raw.2016","TPA.raw.2017"
516,"NAM","Namibia",7,"Tropical & Subtropical Grasslands, Savannas & Shrub     ",0,15252.63,15252.63,15252.63,36626.55,15252.63,15430.84,15430.84,15430.84,25390.63,25829.67,25829.67,25829.67,25829.67,36626.55,36665.48,56430.73,67929.25,72416.66,76700.52,84396.29,84396.29,90131.54,91680.22,93329.81,93329.81,93329.81,93329.81
516,"NAM","Namibia",13,"Deserts & Xeric Shrublands                              ",0,73733.82,73733.82,73733.82,129024.35,73733.82,75008.64,75008.64,75008.64,81899.17,86346.65,89925.42,105309.45,109624.4,129024.35,136794.1,143010.09,147128.66,147128.66,173240.51,175011.06,183180.95,197531.97,207957.49,209944.77,209944.77,209944.77,209944.77
520,"NRU","Nauru",1,"Tropical & Subtropical Moist Broadleaf Forests          ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,"NPL","Nepal",10,"Montane Grasslands & Shrublands                         ",5495.02,5495.02,5924.13,10367.99,13152.74,10367.99,10367.99,10367.99,10367.99,12971.59,13020.28,13020.28,13020.28,13152.74,13152.74,13152.74,13152.74,13155.54,13155.54,13155.54,13155.54,14860.36,14860.36,14860.36,14860.36,14860.36,14860.36,14860.36
524,"NPL","Nepal",7,"Tropical & Subtropical Grasslands, Savannas & Shrub     ",1596.49,1596.49,1596.49,1596.49,2360.87,1596.49,1596.49,2325.96,2325.96,2325.96,2325.96,2325.96,2325.96,2325.96,2360.87,2799.92,2932.14,2932.14,2932.14,2932.14,2948.9,3307.88,3307.88,3307.88,3307.88,3307.88,3307.88,3307.88
524,"NPL","Nepal",4,"Temperate Broadleaf & Mixed Forests                     ",330.58,330.58,392.25,931.14,2129.04,931.14,931.14,931.14,931.14,1602.74,2119.66,2119.66,2119.66,2129.04,2129.04,2129.04,2129.04,2260.91,2260.91,2261.81,2261.81,3094.77,3094.77,3094.77,3094.77,3094.77,3094.77,3094.77
524,"NPL","Nepal",5,"Temperate Conifer Forests                               ",1090.56,1090.56,1408.83,2368.34,3253.78,2368.34,2368.34,2368.34,2368.34,2997,3187.02,3187.02,3187.02,3253.78,3253.78,3253.78,3253.78,3479.48,3479.48,3479.48,3479.48,4611.37,4611.37,4611.37,4611.37,4611.37,4611.37,4611.37
524,"NPL","Nepal",3,"Tropical & Subtropical Coniferous Forests               ",70.08,70.08,70.08,485.91,649.55,485.91,485.91,578.44,578.44,649.55,649.55,649.55,649.55,649.55,649.55,655.4,655.4,764.05,764.05,764.05,764.05,838.25,838.25,838.25,838.25,838.25,838.25,954.53
524,"NPL","Nepal",1,"Tropical & Subtropical Moist Broadleaf Forests          ",1572.22,1572.22,1572.22,1578.19,2067.85,1578.19,1578.19,2038.61,2038.61,2044.28,2067.85,2067.85,2067.85,2067.85,2067.85,2073.27,2239.09,2239.17,2239.17,2239.17,2239.17,2778.56,2778.56,2778.56,2778.56,2778.56,2778.56,2924.37
528,"NLD","Netherlands",4,"Temperate Broadleaf & Mixed Forests                     ",716.57,717.68,820.63,842.14,3999.02,1002.01,1113.8,1730.74,1757.36,3057.73,3059.11,3645.07,3646.75,3848.28,3999.02,4007.44,4007.45,4021.82,4021.82,4021.82,4025.62,4033.93,4033.93,4033.93,4033.93,4033.94,4033.94,4033.94
530,"ANT","Netherlands Antilles",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,"NCL","New Caledonia",2,"Tropical & Subtropical Dry Broadleaf Forests            ",176.98,176.98,176.98,176.98,177.94,177.68,177.68,177.68,177.68,177.94,177.94,177.94,177.94,177.94,177.94,177.94,177.94,177.94,177.94,2433.39,2433.39,2433.39,2433.39,2433.39,2433.39,2433.39,2433.39,2433.39
540,"NCL","New Caledonia",1,"Tropical & Subtropical Moist Broadleaf Forests          ",964.94,965.72,965.72,965.72,1111.91,966.51,966.51,966.51,966.51,966.51,966.51,1111.91,1111.91,1111.91,1111.91,1111.91,1111.91,1111.91,1111.91,7451.1,7665.41,7665.41,7665.41,7665.41,7666.45,7941.15,7941.15,7941.15
554,"NZL","New Zealand",8,"Temperate Grasslands, Savannas & Shrublands             ",1273.21,1588.69,1661.28,1725.74,2819.18,2026.08,2062.69,2109.41,2299.88,2441.3,2449.65,2462.36,2544.93,2557.68,2819.18,2848.98,2860.76,2925.62,3074.38,3516.39,4224.83,4297.78,4347.87,4399.5,4495.86,4499.26,4499.26,4499.26
