"code","iso","country","NOX.raw.1970","NOX.raw.1971","NOX.raw.1972","NOX.raw.1973","NOX.raw.1974","NOX.raw.1975","NOX.raw.1976","NOX.raw.1977","NOX.raw.1978","NOX.raw.1979","NOX.raw.1980","NOX.raw.1981","NOX.raw.1982","NOX.raw.1983","NOX.raw.1984","NOX.raw.1985","NOX.raw.1986","NOX.raw.1987","NOX.raw.1988","NOX.raw.1989","NOX.raw.1990","NOX.raw.1991","NOX.raw.1992","NOX.raw.1993","NOX.raw.1994","NOX.raw.1995","NOX.raw.1996","NOX.raw.1997","NOX.raw.1998","NOX.raw.1999","NOX.raw.2000","NOX.raw.2001","NOX.raw.2002","NOX.raw.2003","NOX.raw.2004","NOX.raw.2005","NOX.raw.2006","NOX.raw.2007","NOX.raw.2008","NOX.raw.2009","NOX.raw.2010"
4,"AFG","Afghanistan",22.600559632,22.501249415,21.549820306,21.44433541,22.91353858,25.215848942,26.036850107,21.01963585,29.697392268,30.077615322,36.0234468133,35.94185764436,40.2521915703,42.3674568959,42.9844196605,19.472876964,17.1966385019,18.6597162931,17.811296632,16.7670704794,16.69050264033,16.22217387416,12.69863210916,12.76993120876,12.85723420866,12.72760763426,13.06950590616,12.46376173866,12.84033077706,12.86793281958,13.367544739,12.78119136394,13.85698756506,14.63580695056,16.0130871843,16.1176642387,15.3987986658,14.1819207564,14.6164727843,15.2861888557,15.4315823432
8,"ALB","Albania",21.120277523,21.137841046,24.122093566,20.161478714,20.989901214,20.694634022,22.891328534,24.008781363,27.001287463,31.509544472,34.226638681,25.372101357,26.891445477,29.247882096,33.824130297,31.572930956,31.04157138,32.038563372,32.456703912,32.14653738,25.136839746,17.225586278,10.970920526,11.135646354,12.6523836652,11.7438951184,11.3317261418,9.1760337651,12.1566327248,22.6023653001,22.9396091828,23.292627442,26.0422945487,25.5710205945,23.0328930225,28.4523747794,24.76796079,24.0020048112,25.2766530155,18.0048321609,16.2706000495
12,"DZA","Algeria",58.8652780793,61.3608913059,64.0552924262,69.98932786996,69.54743204818,81.11005891669,94.6189027385,107.36734275657,112.90044404064,114.26889720755,117.23840486039,123.357814459494,134.96164585123,141.71032439262,150.52437420818,159.74737643042,168.711542870499,170.562207550422,173.34837896261,176.09481264803,187.651188238649,197.981212550094,201.768060163555,204.822865142423,196.45768061276,193.501525617504,190.679165438846,185.483646670444,184.479205336953,189.704161963963,193.030904543525,193.660146483385,213.143021216605,214.322545858509,218.844009250745,224.069918990298,229.221939979956,245.566137055137,250.119751334712,304.747561163086,334.473200148316
16,"ASM","American Samoa",0.001780945405,0.001783276269,0.001793259815,0.00181752645,0.001793726604,0.001964917439,0.001983467434,0.002024035649,0.002005737533,0.002268366548,0.002767510173,0.004625077187,0.002084862342,0.002193218286,0.002269341496,0.002319919396,0.002386670644,0.002439643214,0.002485869314,0.002565129653,0.002178296393,0.002178964013,0.002218191153,0.002258819858,0.002289857393,0.002330515919,0.002334789214,0.002366665509,0.002441917143,0.019484604143,0.059120264823,0.06583323399,0.065844503135,0.066030316921,0.065811010624,0.065816334594,0.065816359516,0.066019449979,0.066348086344,0.066361719039,0.066657448109
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",26.708109707,26.693586925,34.245229182,31.951530234,30.400746733,28.532043782,27.99809853,23.677737707,31.635506458,30.390868931,30.004603474,28.795269881,28.882863634,28.949579662,24.559514462,29.502911649,29.964253719,29.964528882,33.396603361,34.051136595,34.60675948,35.963412313,35.628024774,38.072010027,39.292981803,36.266175583,38.227050235,40.598715163,38.163430909,45.729447697,46.209977025,48.999767548,52.310831124,63.450690686,69.510936593,61.006335587,79.778746067,95.229865611,107.748675787,97.566255374,109.807689224
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",1.58343202665,1.63561480604,1.57072923071,1.87979841865,1.9067159352,2.07727073521,2.41933235531,2.52592437947,2.80508191328,2.51084522049,2.77595596458,2.30851679106,3.01547692374,2.01230950175,2.35041881977,2.23653022241,1.49694781617,1.62836234479,2.12332962109,1.82029640069,1.90657081996,1.97679582387,2.07008267961,1.91986437588,2.11360929742,2.24792647893,2.68499755034,2.69571817206,3.06723563295,2.93195944224,3.288699850429,3.230596597424,3.161816457059,3.384900261695,3.449463263621,3.485654716616,3.450861966194,3.49293543928,3.52903057708,3.26403658004,3.26431184754
32,"ARG","Argentina",520.135970933,521.44732217,537.716869601,545.198908541,541.884897469,532.733928941,544.676513242,563.366907504,559.263256791,591.532831721,566.159713266,557.343964127,562.182424154,568.866269573,547.49535517,459.42489325,499.998138674,510.4496629136,512.98193872,487.907919097,480.381212983,510.35500679,533.10766503,546.707329577,593.027943297,598.630293735,649.291050319,686.831877289,720.32413069,708.280242724,670.905902693,624.2545911101,576.3608032045,604.253968243,651.750147353,673.206210772,718.6478190767,755.725967658701,781.1496714981,713.658230422,730.464083286
51,"ARM","Armenia",26.9864762331,27.06533578989,29.26174830658,31.66917359795,34.4046146377,38.82911235072,40.03191087982,41.07735213158,42.02688421378,43.27869418059,45.39700130895,46.34456091261,46.65982459158,46.78817852911,46.89471350689,47.43583248173,47.79961699455,48.01281307049,48.40828569754,47.5617560403,57.98787605862,61.60447262324,35.77340877164,18.47245516062,6.58080446999,7.07396449707,5.56814086088,6.53555721663,6.76367510087,6.41179066128,9.47689214724,9.31262632443,8.03087524978,8.3961744778,9.05571013295,10.58937114928,10.79982533835,16.14721546353,18.05458781828,17.51030169887,17.16031004586
