code,iso,country,EPI.baseline,HLT.baseline,AIR.baseline,H2O.baseline,HMT.baseline,ECO.baseline,BDH.baseline,FRT.baseline,FSH.baseline,CCE.baseline,APE.baseline,WRS.baseline,AGR.baseline,HAD.baseline,PME.baseline,PMW.baseline,USD.baseline,UWD.baseline,PBD.baseline,MPA.baseline,TBN.baseline,TBG.baseline,SPI.baseline,PAR.baseline,SHI.baseline,TCL.baseline,FSS.baseline,MTR.baseline,DCT.baseline,DPT.baseline,DMT.baseline,DNT.baseline,DBT.baseline,DST.baseline,DXT.baseline,WWT.baseline,SNM.baseline
368,IRQ,Iraq,41.3,51.2,60.92,33.61,30.45,34.71,13.33,,,44.66,28.64,70.21,22.96,40.27,71.99,77.38,34.54,32.67,30.45,,1.52,1.06,0.98,0,99.55,,,,75.74,0,11.68,69,20.07,37.93,19.34,70.21,22.96
372,IRL,Ireland,76.83,92.07,91.22,99.21,60.3,66.66,80.26,7.71,67.42,63.52,78.15,91.19,61.94,78.05,100,100,98.42,100,60.3,82.51,71.22,71.22,99.94,55.94,96.82,7.71,71.19,63.64,65.75,51.74,62.03,73.37,84.41,79.69,76.61,91.19,61.94
376,ISR,Israel,70.44,91.84,92.75,92.39,76.61,56.17,57.6,22.32,69.04,50.62,61.97,99.49,26.03,82.77,100,98.82,89.43,95.34,76.61,56,75.63,48.66,55.1,12.81,92.42,22.32,81.6,56.49,38.7,42.6,72.89,69.05,94.3,70.93,53.01,99.49,26.03
380,ITA,Italy,75.17,88.44,85.35,100,59.24,66.32,93.38,41.58,46.11,49.63,71.17,97.53,49.03,83.16,88.06,85.56,100,100,59.24,95.58,100,100,99.79,47.91,95.15,41.58,30.03,62.19,30.16,58.02,93.56,25.54,59.09,71.58,70.77,97.53,49.03
388,JAM,Jamaica,55.84,66.61,76.1,50.7,38.76,48.66,85.86,19.08,64.11,30.37,16.55,76.99,8.32,40.26,100,100,50.41,50.98,38.76,80.15,84.45,95.18,99.93,51.15,88.03,19.08,33.07,95.15,20.93,25.08,58.31,43.69,20.79,0,33.09,76.99,8.32
392,JPN,Japan,76.81,93.57,91.49,96.98,100,65.64,92.52,42.21,53.76,49.93,62.55,94.06,45.41,100,84.09,87.56,98.75,95.21,100,97,100,100,99.05,38.23,94.85,42.21,43.13,64.4,35.27,16.8,98.44,95.24,89.61,58.83,66.27,94.06,45.41
400,JOR,Jordan,58.95,83.38,99.95,59.2,13.11,42.66,21.32,,,48,55.73,81.74,13.03,100,100,99.83,62.21,56.19,13.11,,4.11,4.86,21.38,11.38,98.48,,,,38.89,27.74,82.77,58.74,70.31,52.22,59.23,81.74,13.03
398,KAZ,Kazakhstan,56.38,60.93,65.81,51.49,54.25,53.35,26.92,45.17,,70.12,66.07,79.83,22.85,20.05,99.54,93.08,48.36,54.62,54.25,,14.65,18.78,22.43,4.71,98.94,45.17,,,76.38,45.52,77.69,50.55,95.23,54.25,77.89,79.83,22.85
404,KEN,Kenya,46.99,42.52,62.91,0,32.63,49.96,78.27,15.27,34.99,51.14,45.09,41.57,27.25,9.53,100,96.98,0,0,32.63,80.76,80.37,76.1,87.79,36.43,96.21,15.27,32.66,37.32,61.98,62.16,26.66,23.42,24.36,46.1,44.08,41.57,27.25
296,KIR,Kiribati,43.03,46.26,60.87,16.1,37.26,40.89,72.46,,48.8,17.59,20.61,58.45,12.38,2.17,100,100,16,16.2,37.26,53.6,100,100,,0,,,74.73,22.87,14.92,,24.06,23.72,23.09,21.92,19.29,58.45,12.38
414,KWT,Kuwait,48.87,61.32,62.7,64.47,24.49,40.57,33.88,,68.37,31.14,6.4,96.88,30.75,70.72,48.92,65.77,67.42,61.52,24.49,67.45,18.13,18.13,16.33,2.79,95.91,,81.6,55.15,16.91,40.82,23.73,97.71,97.71,0,12.8,96.88,30.75
417,KGZ,Kyrgyzstan,54.38,49.5,55.48,36.99,46.76,57.64,73.79,60.85,,45.39,46.74,65.61,49.82,10.67,84.72,85.98,34.42,39.57,46.76,,72.49,79.71,81.58,26.38,96.36,60.85,,,42.8,59.24,36.49,30.21,66.75,38.54,54.95,65.61,49.82
418,LAO,Laos,37.22,24.28,28.67,14.46,26.09,45.86,85.43,22.75,,44.29,26.99,0,33.06,0,43.26,52.31,13.32,15.6,26.09,,93.54,96.61,92.53,37.9,80.15,22.75,,,45.82,,40.52,41.95,40.37,26.52,27.46,0,33.06
428,LVA,Latvia,73.68,69.46,74.23,58.32,74.28,76.49,91.01,6.28,63.38,83.91,96.88,96.3,45.68,36.25,100,99.08,57.44,59.2,74.28,89.57,100,100,98.98,40.4,92.57,6.28,92.77,33.99,99.97,58.57,81.25,64.85,54.51,93.77,99.99,96.3,45.68
422,LBN,Lebanon,59.13,83.82,98.46,56.76,55.79,42.67,27.1,26.25,53.29,44.7,54.94,76.47,27.83,100,100,94.87,62.54,50.97,55.79,24.56,13,13,29.47,14.13,96.82,26.25,81.6,24.99,63.97,24.36,15.48,52.1,42.88,49.84,60.04,76.47,27.83
426,LSO,Lesotho,30.98,37.53,55.67,0,26.82,26.62,17.08,,,26.54,35.24,37.28,36.27,2.36,91.14,91.28,0,0,26.82,,1.41,1.41,12.17,8.96,97.73,,,,26.57,,28.5,22.82,21.96,34.36,36.13,37.28,36.27
430,LBR,Liberia,30.35,41.89,61.89,0,33.15,22.65,35.52,26.3,65.23,6.64,15.77,0,21.03,4.72,100,100,0,0,33.15,64.65,12.04,35.94,21.75,22.98,63.48,26.3,84.75,45.71,1.37,,18.59,38.6,0.61,30.79,0.75,0,21.03
434,LBY,Libya,51.54,74.02,87.32,50.2,44.18,36.54,20.43,,49.98,35.16,35.6,74.57,24.39,68.29,100,100,48.02,52.37,44.18,39.72,1.24,6.02,5.29,0.53,99.24,,99.96,0,40.85,54.58,4.83,38.85,18.28,34.8,36.4,74.57,24.39
440,LTU,Lithuania,75.23,72.74,79.6,56.85,78.9,76.88,88.23,14.5,68,83.03,92.16,93.49,62.01,58.18,95.41,92.34,55.69,58.01,78.9,98.23,86.68,86.68,99.92,42.51,96.82,14.5,65.46,70.54,99.54,64.52,77.05,47.98,51.04,99.77,84.55,93.49,62.01
442,LUX,Luxembourg,75.62,92.83,91.84,97.88,75.46,64.15,95.37,39.52,,42.6,52.82,99.76,38.06,84.9,99.23,93.7,98.11,97.64,75.46,,100,100,100,77.52,85.45,39.52,,,20.99,44.08,99.01,50.15,19.51,99.53,6.1,99.76,38.06
807,MKD,Macedonia,56.82,64.86,65.64,63.11,65.19,51.46,63.62,32.52,,47.66,58.51,52.07,35.99,22.34,96.11,92.91,63.29,62.93,65.19,,44.82,67.63,78.6,37.35,89.54,32.52,,,61.01,31.87,29.77,52.53,43.93,44.08,72.94,52.07,35.99
450,MDG,Madagascar,42.16,40.55,60.26,0.25,26.03,43.24,45.89,14.88,72.96,57.05,38.95,0,39.5,0.66,100,100,0,0.49,26.03,67.77,29.91,22.8,57.39,21.33,81.81,14.88,95.19,50.73,74.4,,17.87,12.73,15.08,43.1,34.8,0,39.5
454,MWI,Malawi,46.53,37.76,55.42,0.5,31.81,52.37,91.82,20.03,,56.54,35,0,34.26,2.03,92.56,89.47,0.35,0.65,31.81,,98.11,99.2,93.66,55.77,96.82,20.03,,,71.52,,26.47,14.98,8.59,41.85,28.16,0,34.26
458,MYS,Malaysia,57.02,67.85,72.79,61.16,43.75,49.81,84.53,1.9,69.06,23.56,46.87,82.3,31.86,57.15,82.07,84.36,67.21,55.12,43.75,78.8,100,100,93.1,18.44,83.03,1.9,90.51,47.6,17.11,30.6,27.58,25.32,42.1,47.08,46.65,82.3,31.86
462,MDV,Maldives,47.2,65,72.42,52.03,46.34,35.34,19.33,,74.17,47.52,0.05,39.76,26.33,31.05,100,100,51.81,52.25,46.34,57.17,3.17,3.17,,8.25,,,98.56,49.79,33.85,,91.71,98.66,11.08,0.08,0.02,39.76,26.33
